obs;lon;lat
1;173.37100000000;70.13055635740
2;156.95400000000;78.30644280210
3;47.02030000000;74.19754548830
4;50.71540000000;76.80428336330
5;168.52800000000;70.33748089680
6;167.16400000000;80.49588868360
7;78.54310000000;79.02029901130
8;58.64370000000;76.08031571600
9;47.90910000000;74.87506702910
10;-175.96600000000;64.66566180750
11;133.97800000000;71.61800993630
12;169.03600000000;69.15589532460
13;36.95380000000;72.96255573790
14;33.31500000000;72.98151316750
15;40.01950000000;71.57264534700
16;129.04500000000;71.68552828690
17;132.79200000000;77.45214355260
18;55.91760000000;72.29623071810
19;150.46000000000;80.88665162570
20;145.82700000000;81.03344404050
21;121.56600000000;81.71150612600
22;76.53150000000;74.22185654000
23;52.91180000000;69.32583916040
24;117.02300000000;76.25119365910
25;109.80600000000;82.06084936900
26;164.38500000000;73.47908713790
27;23.54950000000;71.15487402550
28;152.81700000000;82.00133436130
29;170.38500000000;68.94355919090
30;141.48500000000;76.78654145480
31;164.06100000000;71.95009201060
32;176.03800000000;72.87166327220
33;122.30100000000;73.49810632270
34;111.53600000000;79.57674309250
35;175.50100000000;70.99487437320
36;134.66700000000;77.66925813270
37;70.65060000000;74.08667937430
38;146.58900000000;74.04493524350
39;101.91700000000;79.94957677500
40;167.84300000000;73.01064961620
41;165.85000000000;69.94442295110
42;36.79380000000;70.94763376020
43;-177.01500000000;71.09044158470
44;80.90640000000;77.14446241060
45;-179.39200000000;64.13890805100
46;163.40700000000;73.94733542260
47;83.11290000000;80.31234525480
48;127.51800000000;74.28186309890
49;134.66000000000;72.76757434760
50;63.88020000000;69.81417514860
51;165.43000000000;71.26132268230
52;162.48000000000;70.11331782460
53;37.91320000000;75.73845927120
54;69.91070000000;75.07724507350
55;78.27400000000;72.86341529810
56;86.31360000000;75.08605495560
57;34.46370000000;72.35085116600
58;168.39500000000;78.23117953500
59;155.20700000000;71.53671711550
60;122.80900000000;79.15443572750
61;176.55600000000;75.69381440530
62;70.89630000000;78.67422229530
63;40.30040000000;74.52864841060
64;62.17790000000;71.64983489180
65;166.49700000000;71.46425529860
66;179.25600000000;69.40052514020
67;72.92670000000;78.88902672740
68;114.38800000000;75.84795447240
69;64.15730000000;70.87017638760
70;119.19100000000;74.43340405660
71;167.66500000000;72.07023846700
72;-172.37400000000;68.00282290470
73;158.76100000000;74.95300517880
74;135.26900000000;81.01397636770
