obs;lon;lat
1;-135.01200000000;72.39790000000
2;-134.33300000000;70.59880000000
3;-163.25900000000;76.29990000000
4;-117.93800000000;74.65930000000
5;-160.53200000000;72.89960000000
6;-143.33500000000;72.40920000000
7;-162.69000000000;72.49880000000
8;-139.84300000000;75.96220000000
9;-161.65900000000;75.05420000000
10;-121.87900000000;74.71250000000
11;-143.34300000000;71.51090000000
12;-159.30100000000;76.74020000000
13;-143.87800000000;71.13050000000
14;-161.82200000000;74.89060000000
15;-149.78000000000;72.52420000000
16;-125.91900000000;73.28630000000
17;-154.12800000000;75.77100000000
18;-158.36100000000;70.99070000000
19;-162.15700000000;66.89940000000
20;-154.09800000000;73.83360000000
21;-145.92100000000;75.47820000000
22;-149.11000000000;74.28790000000
23;-149.86900000000;71.37690000000
24;-128.61700000000;74.26000000000
25;-163.07100000000;72.93500000000
26;-130.19600000000;70.84120000000
27;-160.10400000000;73.94980000000
28;-154.02800000000;71.45500000000
29;-158.57700000000;72.83040000000
30;-121.97500000000;75.31820000000
31;-165.64200000000;67.52270000000
32;-162.10700000000;71.00240000000
33;-144.31700000000;75.83050000000
34;-161.61000000000;73.48050000000
35;-128.94500000000;70.27580000000
36;-117.76000000000;74.31170000000
37;-151.74700000000;74.98870000000
38;-166.69900000000;74.94350000000
39;-138.65600000000;71.35210000000
40;-129.35000000000;75.41400000000
41;-158.39600000000;72.10350000000
42;-158.52000000000;71.83140000000
43;-165.86500000000;71.04270000000
44;-129.60800000000;76.61580000000
45;-148.41500000000;72.69440000000
46;-162.53200000000;76.36190000000
47;-125.88300000000;73.44640000000
48;-126.55600000000;73.36930000000
49;-164.21300000000;67.53520000000
50;-147.04100000000;71.31380000000
51;-156.02300000000;76.62440000000
52;-146.82900000000;74.45880000000
53;-114.96300000000;74.61580000000
54;-166.40600000000;66.68690000000
55;-131.89100000000;74.74440000000
56;-161.55900000000;75.10180000000
57;-146.57900000000;71.20310000000
58;-162.05000000000;76.33210000000
59;-139.33900000000;70.75950000000
60;-132.38300000000;74.31540000000
61;-141.94300000000;76.09510000000
62;-167.09700000000;71.87540000000
63;-130.33100000000;73.93480000000
64;-147.71000000000;71.45340000000
65;-157.40300000000;76.53670000000
66;-128.71300000000;74.73120000000
67;-167.04200000000;72.64830000000
68;-151.98400000000;71.64370000000
69;-127.82900000000;70.24550000000
70;-155.03400000000;74.68900000000
71;-144.70500000000;75.80030000000
72;-148.86100000000;73.00650000000
73;-164.54700000000;73.49720000000
74;-146.00900000000;75.48990000000
75;-158.27000000000;71.36670000000
76;-154.93600000000;71.62800000000
77;-164.29300000000;75.90460000000
78;-163.23500000000;73.47480000000
79;-157.21300000000;76.10510000000
80;-117.51600000000;74.70680000000
